"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","NUM_COLLISIONS"
"1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,83.6,63,0.52027027027027
"2",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,80.3,54.1,0.578828828828829
"3",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,79.8,56.7,0.804054054054054
"4",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,81.8,65.6,0.281531531531532
"5",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,86.7,64.3,0.63963963963964
"6",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,81.9,62.3,0.745495495495496
"7",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,84.9,65.9,0.412162162162162
"8",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,80.6,65.5,0.353603603603604
"9",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,78.5,56.8,0.509009009009009
"10",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,76.5,56.3,0.488738738738739
"11",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,77.1,62,0.581081081081081
"12",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,77.4,60.2,0.608108108108108
"13",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,78.9,60.7,0.666666666666667
"14",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,78.5,62.7,0.515765765765766
"15",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,79.7,68.6,0.421171171171171
"16",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,79,67.9,0.497747747747748
"17",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,84.6,63.3,0.768018018018018
"18",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,85.3,69.1,0.567567567567568
"19",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,73.3,67.2,0.484234234234234
"20",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,67.2,62.8,0.668918918918919
"21",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,68.1,58.5,0.497747747747748
"22",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,72.5,59.4,0.43018018018018
"23",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,76,67.2,0.445945945945946
"24",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,80.3,67.3,0.601351351351351
"25",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,76.5,53.5,0.686936936936937
"26",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,78,62.4,0.668918918918919
"27",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,76.6,69.3,0.745495495495496
"28",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,75.5,69.6,0.463963963963964
"29",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,71.7,66.1,0.155405405405405
