day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_COLLISIONS
7,2018,09,23,2018-09-23,59.8,50.2,1023.4,10.0,3.0,5.1,999.9,78.1,53.1,0.0,999.9,0,475
4,2018,12,20,2018-12-20,38.6,34.4,1020.2,9.6,5.0,7.0,999.9,48.0,21.0,0.0,999.9,0,806
2,2013,11,05,2013-11-05,43.5,30.4,1037.8,10.0,3.9,7.0,999.9,50.0,37.9,0.0,999.9,0,510
3,2012,07,11,2012-07-11,77.1,62.0,1019.9,10.0,1.9,7.0,999.9,84.0,64.9,0.0,999.9,0,565
4,2012,08,09,2012-08-09,78.2,69.6,1013.6,9.3,2.3,7.0,15.0,88.0,61.0,0.0,999.9,0,581
4,2012,07,12,2012-07-12,77.4,60.2,1021.7,10.0,2.3,7.0,999.9,88.0,57.0,0.0,999.9,0,577
4,2020,09,10,2020-09-10,70.8,69.5,1025.1,0.8,4.4,7.0,999.9,77.0,66.9,0.0,999.9,1,347
2,2017,09,26,2017-09-26,65.9,65.3,1016.8,2.6,3.4,7.0,999.9,77.0,59.0,0.12,999.9,1,656
1,2012,09,17,2012-09-17,66.5,48.0,1018.3,10.0,2.2,7.0,999.9,77.0,48.2,0.0,999.9,0,452
1,2014,11,10,2014-11-10,48.2,42.2,1019.2,9.6,4.0,7.0,999.9,59.0,39.0,0.0,999.9,0,560
1,2016,07,11,2016-07-11,63.1,58.4,1016.8,9.9,4.9,7.0,999.9,70.0,55.0,0.01,999.9,0,618
1,2019,07,08,2019-07-08,64.9,56.7,1014.7,10.0,4.2,7.0,999.9,75.0,54.0,0.0,999.9,0,592
4,2016,09,22,2016-09-22,67.2,57.8,1020.9,10.0,3.7,7.0,999.9,79.0,57.9,0.0,999.9,0,660
5,2014,07,18,2014-07-18,69.6,59.4,1020.7,9.6,5.0,7.0,999.9,79.0,63.0,0.04,999.9,0,625
5,2012,07,13,2012-07-13,78.9,60.7,1021.8,9.9,3.0,7.0,999.9,87.1,63.0,0.0,999.9,0,603
5,2012,08,24,2012-08-24,77.3,60.9,1020.7,9.3,2.0,7.0,999.9,87.1,66.0,0.0,999.9,0,601
5,2012,10,26,2012-10-26,60.8,53.4,1022.6,10.0,1.5,7.0,999.9,64.9,39.2,0.0,999.9,0,598
5,2019,03,01,2019-03-01,26.7,18.2,1026.9,10.0,4.0,7.0,999.9,35.1,16.0,0.0,999.9,0,711
5,2020,01,24,2020-01-24,37.3,33.7,1028.5,6.5,3.3,8.0,999.9,46.0,19.9,0.0,999.9,1,524
2,2014,12,16,2014-12-16,44.0,37.0,1019.7,9.6,4.2,8.0,999.9,48.0,33.1,0.0,999.9,0,645
3,2015,11,25,2015-11-25,39.6,26.8,1038.6,10.0,4.3,8.0,999.9,50.0,28.9,0.0,999.9,0,717
3,2020,10,21,2020-10-21,64.9,63.1,1025.0,4.7,5.2,8.0,999.9,68.0,63.0,0.03,999.9,1,338
6,2020,10,03,2020-10-03,61.4,47.8,1021.2,10.0,4.9,8.0,999.9,68.0,50.0,0.0,999.9,0,323
2,2020,09,29,2020-09-29,67.5,65.8,9999.9,6.1,5.5,8.0,999.9,68.0,66.0,0.0,999.9,1,317
7,2018,07,15,2018-07-15,65.5,61.6,1016.5,8.6,5.3,8.0,999.9,72.0,55.9,0.0,999.9,1,564
1,2014,08,25,2014-08-25,63.3,56.5,1020.5,10.0,3.8,8.0,999.9,72.0,54.0,0.0,999.9,0,549
6,2013,10,05,2013-10-05,61.3,57.7,1018.0,9.6,4.2,8.0,999.9,72.0,54.0,0.13,999.9,0,497
6,2014,06,28,2014-06-28,62.2,51.9,1024.1,9.5,4.8,8.0,999.9,72.0,52.0,0.02,999.9,0,611
7,2015,09,06,2015-09-06,66.6,55.9,1023.5,10.0,4.7,8.0,999.9,72.0,50.0,0.0,999.9,0,504
6,2012,07,28,2012-07-28,75.5,69.6,1012.2,7.0,3.9,8.0,15.9,84.0,68.0,0.0,999.9,1,513
1,2017,09,25,2017-09-25,64.2,63.7,1017.8,2.8,4.2,8.0,999.9,73.0,59.0,0.0,999.9,1,726
5,2017,08,11,2017-08-11,67.6,65.8,1021.4,9.3,5.8,8.0,999.9,77.0,60.1,0.0,999.9,1,655
4,2014,07,17,2014-07-17,70.4,63.7,1013.3,7.7,4.5,8.0,999.9,77.0,66.2,0.01,999.9,1,587
3,2020,09,09,2020-09-09,69.3,67.3,1025.0,4.3,4.2,8.0,999.9,77.0,57.9,0.0,999.9,1,292
7,2014,06,08,2014-06-08,64.9,55.5,1013.2,9.8,4.8,8.0,999.9,77.0,55.9,0.0,999.9,0,516
2,2020,09,08,2020-09-08,65.9,63.7,1020.7,5.2,4.2,8.0,999.9,77.0,57.2,0.0,999.9,1,337
7,2014,08,10,2014-08-10,69.1,61.4,1019.2,9.8,4.6,8.0,999.9,81.0,57.9,0.01,999.9,0,512
6,2014,02,01,2014-02-01,35.6,25.1,1024.8,10.0,4.8,8.0,999.9,41.0,30.9,0.0,999.9,0,507
7,2016,03,06,2016-03-06,33.2,18.7,1024.3,10.0,3.1,8.0,999.9,41.0,23.0,0.0,999.9,0,500
7,2013,04,28,2013-04-28,48.0,38.5,1027.1,9.8,3.9,8.0,999.9,57.0,37.0,0.0,999.9,0,440
1,2020,10,19,2020-10-19,55.6,48.9,1028.1,10.0,5.0,8.0,999.9,63.0,48.0,0.0,999.9,0,276
1,2014,09,15,2014-09-15,57.5,47.6,1022.0,10.0,3.6,8.0,999.9,66.0,46.9,0.0,999.9,0,610
5,2016,10,07,2016-10-07,55.6,49.7,1025.3,6.9,2.7,8.0,999.9,70.0,44.1,0.0,999.9,1,754
7,2012,07,22,2012-07-22,72.5,59.4,1020.3,10.0,2.0,8.0,999.9,82.0,54.0,0.0,999.9,0,498
3,2012,08,08,2012-08-08,77.8,67.1,1014.7,8.8,1.1,8.0,999.9,86.0,64.0,0.0,999.9,0,528
5,2012,09,07,2012-09-07,77.0,67.8,1012.2,8.7,2.7,8.0,999.9,86.0,64.4,0.0,999.9,0,680
7,2012,07,08,2012-07-08,80.6,65.5,1010.1,8.5,3.1,8.0,15.9,90.0,70.0,0.59,999.9,0,464
1,2018,09,17,2018-09-17,65.6,62.6,1020.6,7.9,5.0,8.0,999.9,75.0,55.9,0.0,999.9,1,673
3,2019,12,25,2019-12-25,35.6,28.9,1022.2,10.0,4.7,8.0,999.9,46.9,28.0,0.0,999.9,0,264
6,2013,04,27,2013-04-27,46.6,34.7,1029.1,8.6,3.9,8.0,999.9,55.9,35.1,0.0,999.9,1,517
2,2018,07,31,2018-07-31,68.9,65.8,1020.4,8.4,4.9,8.0,999.9,80.1,64.0,0.0,999.9,1,709
5,2019,06,28,2019-06-28,66.8,62.9,1020.2,6.3,4.4,8.0,999.9,80.1,57.0,0.0,999.9,1,753
1,2017,08,14,2017-08-14,67.7,65.2,1016.4,6.1,4.3,8.0,999.9,80.1,61.0,0.0,999.9,1,602
1,2015,07,13,2015-07-13,70.9,64.9,1013.8,8.3,5.3,8.0,999.9,80.1,66.0,0.0,999.9,0,668
1,2018,07,30,2018-07-30,71.3,66.7,1020.4,9.9,5.8,8.0,999.9,80.1,64.9,0.0,999.9,0,580
3,2012,08,22,2012-08-22,73.8,60.3,1019.6,9.8,1.7,8.0,999.9,80.1,61.0,0.0,999.9,0,504
2,2020,05,26,2020-05-26,58.2,56.0,1022.9,5.8,4.6,8.0,999.9,69.1,50.0,0.0,999.9,1,224
