day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_COLLISIONS
7,2012,7,1,2012-07-01,83.6,63,1008.9,9.7,4.1,9.9,18.1,93,66,0,999.9,0,538
1,2012,7,2,2012-07-02,80.3,54.1,1011.6,10,3.8,15,999.9,88,66.9,0,999.9,0,564
2,2012,7,3,2012-07-03,79.8,56.7,1012.8,10,2.9,12,999.9,88,63,0,999.9,0,664
3,2012,7,4,2012-07-04,81.8,65.6,1009.1,9.2,3.6,11.1,999.9,91,68,0.06,999.9,0,432
4,2012,7,5,2012-07-05,86.7,64.3,1007.4,9.4,3.8,15,999.9,93.9,70,99.99,999.9,0,591
5,2012,7,6,2012-07-06,81.9,62.3,1011.7,10,3.1,9.9,999.9,91,66.9,0,999.9,0,638
6,2012,7,7,2012-07-07,84.9,65.9,1010.1,9.5,3.1,14,17.1,95,70,0,999.9,0,490
7,2012,7,8,2012-07-08,80.6,65.5,1010.1,8.5,3.1,8,15.9,90,70,0.59,999.9,0,464
1,2012,7,9,2012-07-09,78.5,56.8,1012.7,10,3.5,9.9,999.9,84,68,0.09,999.9,0,533
2,2012,7,10,2012-07-10,76.5,56.3,1016,10,3.4,9.9,999.9,86,61,0,999.9,0,524
3,2012,7,11,2012-07-11,77.1,62,1019.9,10,1.9,7,999.9,84,64.9,0,999.9,0,565
4,2012,7,12,2012-07-12,77.4,60.2,1021.7,10,2.3,7,999.9,88,57,0,999.9,0,577
5,2012,7,13,2012-07-13,78.9,60.7,1021.8,9.9,3,7,999.9,87.1,63,0,999.9,0,603
6,2012,7,14,2012-07-14,78.5,62.7,1021.6,10,3.5,13,19,82,68,0,999.9,1,536
7,2012,7,15,2012-07-15,79.7,68.6,1018.3,9.1,2.8,13,999.9,87.1,70,0,999.9,0,494
1,2012,7,16,2012-07-16,79,67.9,1011.5,9.2,4,14,22,91,70,0.26,999.9,0,528
2,2012,7,17,2012-07-17,84.6,63.3,1009.3,9.4,3.5,9.9,18.1,93.9,70,0,999.9,0,648
3,2012,7,18,2012-07-18,85.3,69.1,1008.9,7.2,3.7,13,20,100,73,0,999.9,1,559
4,2012,7,19,2012-07-19,73.3,67.2,1013.2,7.5,3.4,15,18.1,75.9,68,1.76,999.9,0,522
5,2012,7,20,2012-07-20,67.2,62.8,1014.9,7.4,6.5,13,21,73.9,61,0.17,999.9,0,604
6,2012,7,21,2012-07-21,68.1,58.5,1018.3,9.8,4.1,12,999.9,77,57.9,0.43,999.9,0,528
7,2012,7,22,2012-07-22,72.5,59.4,1020.3,10,2,8,999.9,82,54,0,999.9,0,498
1,2012,7,23,2012-07-23,76,67.2,1016.9,8.9,3,13,999.9,86,64,0,999.9,0,505
2,2012,7,24,2012-07-24,80.3,67.3,1005.4,8.1,6,15,18.1,90,70,0.15,999.9,0,574
3,2012,7,25,2012-07-25,76.5,53.5,1009.7,10,4.2,19,999.9,84.9,66.9,0,999.9,0,612
